comment_id,text,all_hs
z125evcpllrzdbqm423hsdppytb3fpjxs04,If I was gabbie I would beat the heck outta her she deserves to BE KICKED WHERE IT HURTS AND SHOT well I'm country I hold grudges I would kill her,1
z12cxpsgwmrtuvunx22hzdxpvwq2u5rcb.1499557345703425,Aiden Cowdrey bitch I'm not looking for anything especially from u and I'll talk about my dog anytime I want so go fuck yourself btw you have no idea how hard it  is for me to say this bc I'm sad out of my mind so 🖕 and 😭,1
z121ff2x1wzxfhmei23evfo5it33fprbq04,how do this creepy nigga got almost 1mill sub I was creep out d whole time,1
z12pjhshzpiih54vl23ytdrjoseoxdm3g,Put a bullet in your head and fucking kill yourself,1
z13fg3txdpb3d1fpl04cdpizalnguprgpas,Shut the fuck up attention whore,1
z12ud1n5wyepszojv04cht2qftqcj1dzj34,Not to be mean but the tween one was kinda stupid,1
z12jcjmrbkj4fx3gl04cc3lbaseixzrhvxo0k,I would kill myself,1
z12ygrg45ryxc5ypw04chv0jvsbpfbdyeyc0k,i love u guy not the clown there ugly,1
z12gvdo5qyrgh3i1x22vfztokrn4h5kms,You gays he didn't say 'I promise' he said 'I MIGHT' post it. Don't be mad at Logan❤,1
z12jcbvzqweuzrpgi04cinhwfpnnut04fb0,Her crush is so fat,1
z13iv3jhxyqmfnrlk22xebc45ortxdvpf04,"This is fucking ridiculous! How does this jackass have anyone backing him??? Why the fuck can't he admit he messed up? It's making this shit much worse for his side, and people are still BEHIND him? I don't understand. This is why I hate the world. I'm a victim of verbal, physical, sexual assault. I know how scary this is. Bryan keeps making me have flashbacks and panic attacks because it makes me think of the boy that abused me.. the way he twists the story. From Gabi's point of view, it's scary, and it sucks. And I can't even think of how much worse this situation feels for her considering that this is completely public. This situation brings me to tears. I'm sorry.",1
z23yedbjwrvzhb0ag04t1aokg5imqjr4bnefyjjvwjggrk0h00410,Omg that lady towards the end was talking to Logan like he was retarded,1
z12qt3vjpomlcbjec23wsfswuoiesf3ke,I got scar! I love it because I'm so evil. Not evil enough to kill my brother or sister though...,1
Ugg_frG3bYNDT3gCoAEC.8JYU7DWYDfF8J_xF4PGopl,u know humans need meat to keep their body going properly oh yea thats why he acts like a retard his body needs meat to make it function properly ok now i found out my question hes needs to eat meat his body needs it or he will keep going like a idoit sad,1
z12rvhforwffxdgf222nitfyswjhwx41w,shes really mean if mb likes gracie why does she get made she stupid,1
z12jtvz4gmeaitt5g04cebrb1vfev5kafw40k,Matty  B I got  a question  Did you  F#ck LIV?? 👍👍👍👍 answer  stupid  kid,1
UggNrhHss9nmmHgCoAEC,Today we're making ugly Christmas sweaters that aren't actually ugly. Which was your fave? Don't forget to today's #AmandaClaus Giveaway!,1
z123wpao1riai5mdm22ejnk5cozufrqgp04,you are stupid,1
UgidS16teSrkl3gCoAEC,who ever put thumbs down yall stupid because matty b sister got do Down syndrome,1
z12phxirpx3xe1smp22rjflgfoveszds2.1493510924968718,SNAG GOD how fast can u kill ur self,1
z12lthixym3ezdmt523mcpvjcln5hzhun,What doesn't kill you makes you stronger💪,1
Uggo8ANB1HnnpXgCoAEC,"if i was his big brother i would fucking kill his little brother, like ffs this kid is worse than the fucking isis",1
z120htwbvy3ytfpgn04cfhyw0mreff5rqp00k,Did u kill santa?,1
z133z5v5cvfwybgj004ccbewnmzxxzny2ws0k,"💩 julie noon out eats shit
stalks ppl is retarded lurks not god
has crabs pus lost her stuff with the devil 💩",1
z12hdhtp1oeiirlzw04ce1vofkn5gvmyebo,Tanner is gay,1
z12qihrprxvsdjqtg23qdloh2nevwphtz,That  boy  who  was  peeing   on  the  table  is  sexy   i  wodov  suck  his  dick    !,1
z12iyv3bjrqfdxcut22ethx5qzfscry0p,Your hair is so ugly it's ulgy,1
Ugi66wgApALzwHgCoAEC,getting kill by myself,1
z12kfbpqty2dudbfg23zfvmqikbozhlbr04,"isreal isnot even a 67 years old , learn math bitch",1
UgisuIcxlZ2mNngCoAEC,you are soo  stupid,1
UghdanumFa1afngCoAEC,love u bitch,1
z12cspbjvuyiglbak04cjbywqrf4ihtybdg,hell no she's a bitch,1
z130e5aifkvvd3osp23ysfkglzm5z3f0j,I eat how much i want an i dont get fat becuas i do workout👍🏻👍🏻👍🏻,1
Ugig2u3lN_nl_3gCoAEC,stupid people,1
z12dc1oghru4un2gn04cfnz4zvjexb3rq30,I can see my douche of a friend doing this to me if I went on a date with him! Hes  had 7 girlfriends in one week. I asked him! Hes not even that cute. Hes tryed and failed to make out with me once and it was creepy!,1
z13kipvp0pmjibmvh22izdkx5mqtxzdhf04,"Ahora su canal me caga ,ya no hablan puto Español o que 😒😒😒😒😒😒😒😒",1
z13mcdcilkadslxnr23vthjwctv0il3zq04,don't tell me that jayka is the fat boy I say in the picture,1
z12ks3pqozrtsnlf223scxzxwquqerlnh,this sucks  everyday bro is stupid I'm not writing another 200 word essay in the comments look at it in the everyday bro co.ments,1
